,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
4,,40.84138,-73.93991,Mike's Bagels ,,wikivoyage,red,4003 Broadway , ,Eat,Fresh bagels made in-house daily.,"(40.84138, -73.93991)",,,,,,,,,"(40.84138, -73.93991)"
2,,40.8027,-73.9341,Lechonera La Isla Restaurant ,,wikivoyage,red,256 E 125th St ,https://www.facebook.com/Lechonera-La-Isla-Restaurant-1467069583551964/ ,Eat,"This is a great Puerto Rican luncheonette, serving excellent pollo a la brasa (roast chicken), glazed with a tasty sauce and cooked till tender, with garlic sauce available to add to taste. They are also known for their pernil (pork shoulder) and serve various daily specials. If you like spicy food, try their ""hot sauce"", which is actually a delicious slaw of lightly pickled sliced onions, tomatoes and hot peppers. This place is a throwback, with nothing but several stools at the counter. Service is friendly. Open hours are until the closing time or whenever they run out of food.","(40.8027, -73.9341)",,,,,,,,,"(40.8027, -73.9341)"
1,,40.84639,-73.93865,El Malecon ,,wikivoyage,red,4141 Broadway ,http://maleconrestaurants.com/ ,Eat,"A Dominican restaurant famous for its ''pollo a la brasa'' (rotisserie chicken) has its flagship in this neighborhood. Go there and enjoy the food, the fresh-squeezed juice, and the Latin music on the jukebox.","(40.84639, -73.93865)",,,,,,,,,"(40.84639, -73.93865)"
0,,40.80255,-73.95027,Amy Ruth's ,,wikivoyage,red,113 W 116th St ,http://www.amyruthsharlem.com/ ,Eat,"Classic, tasty soul food, friendly service.","(40.80255, -73.95027)",,,,,,,,,"(40.80255, -73.95027)"
0,,40.72288,-73.9987505,Manhattan/Soho|Soho,,wikivoyage,red,,,Do_Walks,"125th St, Harlem's main commercial corridor. Expect bustling street life, big crowds, a varied lineup of shops, and major historic landmarks like the Apollo. Some of the local shops have been displaced by big-box stores, and some upscale boutiques more reminiscent of Manhattan/Soho|Soho than the Harlem people used to know have opened, but the local color has not (or at least not yet) disappeared.","(40.72288, -73.9987505)",,,,,,,,,"(40.72288, -73.9987505)"
1,,40.83379,-73.93889,Marjorie's Parlor Jazz ,,wikivoyage,red,"555 Edgecombe Ave, apt 3F ", ,Do_Performing arts,"One of the most charmingly intimate jazz venues anywhere is simply Marjorie Eliot's apartment in Harlem. It's somewhat a jam session, although there are regulars, drawing an attentive and eclectic crowd including music students from China, neighbors from the building, and everyone in between. Seating is first come, first served, so it does make sense to be there by 4PM. As friendly and hospitable as it gets, people will come around with cookies and juice during breaks. Note that getting off the subway at 155th St will require a long, steep climb up steps to get from lower 155th to Edgecombe.","(40.83379, -73.93889)",,,,,,,,,"(40.83379, -73.93889)"
0,,40.81003,-73.95004,Apollo Theater ,,wikivoyage,red,253 W 125th St ,http://www.apollotheater.com ,Do_Performing arts,"The legendary Apollo Theater, ""where stars are born and legends made"", is a source of pride for Harlem, and a symbol of American artistic achievement. The Apollo is best known for its world-famous '''Amateur Night at the Apollo''', which launched the careers of legendary artists like Ella Fitzgerald, James Brown, Michael Jackson, D'Angelo and Lauryn Hill. The Apollo remains the nation's most popular arena for emerging and established black and Latino performers.","(40.81003, -73.95004)",,,,,,,,,"(40.81003, -73.95004)"
5,,40.8291,-73.9516,Riverside Park ,,wikivoyage,red,"west of Riverside Dr, 72nd St to 158th St ",http://www.nycgovparks.org/sub_your_park/vt_riverside_park/vt_riverside_park.html ,See_Parks,A riverfront park providing pleasant views of New Jersey and sometimes breezes off the river. Summer brings al fresco movies and music to the park.,"(40.8291, -73.9516)",,,,,,,,,"(40.8291, -73.9516)"
4,,40.8044,-73.9437,Marcus Garvey Park ,,wikivoyage,red, ,http://www.nycgovparks.org/parks/marcus-garvey-park ,See_Parks,"One of the oldest parks in Manhattan. The elegant brownstones on the western and southern sides of the park hint at the former grandeur of the neighborhood (many were built in the 1880s). The ''Acropolis'', a lookout seventy feet above street level gives views of the Empire State Building, the George Washington Bridge, and Yankee Stadium. The Firetower, a landmark 1857 building (closed off for reconstruction as of 2019), is the only surviving example of 19th-century fire watchtowers. This park is very popular with locals and has a relaxed vibe. There is a dedicated Drum Circle area of the park and others come with sound systems to play old-school soul and funk, dance, ride bikes, etc. It also has a swimming pool.","(40.8044, -73.9437)",,,,,,,,,"(40.8044, -73.9437)"
3,,40.8727347,-73.9196642,Muscota Marsh ,,wikivoyage,red,northwestern tip of Manhattan ,https://www.nycgovparks.org/highlights/muscota-marsh ,See_Parks,"An elevated walkway and jetty provides access to the only natural salt marsh remaining in Manhattan, and expansive views of the Hudson River and the cliffs of Spuyten Duyvil in the Bronx across the river.","(40.8727347, -73.9196642)",,,,,,,,,"(40.8727347, -73.9196642)"
2,,40.8716,-73.9259,Inwood Hill Park ,,wikivoyage,red,northwestern tip of Manhattan ,http://www.nycgovparks.org/parks/inwoodhillpark ,See_Parks,Inwood Hill Park contains the last tracts of virgin forest in Manhattan. Many arrowheads and other artifacts of the former Native American occupants of Manhattan Island have been found in this park.,"(40.8716, -73.9259)",,,,,,,,,"(40.8716, -73.9259)"
0,,40.8618,-73.933,Fort Tryon Park ,,wikivoyage,red, ,https://www.nycgovparks.org/parks/fort-tryon-park ,See_Parks,"One of New York's most beautiful parks, an expanse of rolling hills high above the Hudson, contains some of the highest natural elevations on the island and is a great place to picnic or stroll in good weather and look at the great views of the New Jersey Palisades across the river.","(40.8618, -73.933)",,,,,,,,,"(40.8618, -73.933)"
0,,40.80875,-73.94892,Theresa Tower ,,wikivoyage,red,2082-96 Adam Clayton Powell Jr. Boulevard (7th Av.) , ,See_Architecture,"This New York City landmark started accepting black guests in 1940, becoming one of the few hotels in the city to do so. This led it to become a mixing point for notable African Americans of the time, and through the 40s and 50s it was the center of black Harlem social community. It also gained notoriety when Fidel Castro chose to stay here for the 1960 UN General Assembly. Its ornamentation makes it one of the most visually striking buildings in Northern Manhattan.","(40.80875, -73.94892)",,,,,,,,,"(40.80875, -73.94892)"
2,,40.818056,-73.943611,Strivers Row ,,wikivoyage,red,along W 138th and W 139th Street , ,See_Architecture,Million-dollar homes in an unlikely neighborhood.,"(40.818056, -73.943611)",,,,,,,,,"(40.818056, -73.943611)"
1,,40.83919,-73.94075,Malcolm X and Dr. Betty Shabazz Memorial and Educational Center ,,wikivoyage,red,3940 Broadway ,http://theshabazzcenter.net/ ,See_Architecture,"Once the '''Audubon Ballroom''' where Malcolm X was assassinated with 21 gunshots. Only a part of the facade of the original building remains (Columbia University demolished the building in 1992). The location now houses a memorial to Malcolm X and Betty Shabazz, with a stated goal of advancing human rights and social justice. It also features a 63-foot mural depicting Malcolm X's life.","(40.83919, -73.94075)",,,,,,,,,"(40.83919, -73.94075)"
0,,40.82723,-73.94204,James Bailey House ,,wikivoyage,red,10 St. Nicholas Pl , ,See_Architecture,Street built by architect Samuel Burrage Reed. A major mansion owned by circus entrepreneur Anthony Bailey - joined with showman Phineas T. Barnum in 1881 to form the Barnum & Bailey circus. Now Known to the children of Harlem as the Beauty and the Beast house.,"(40.82723, -73.94204)",,,,,,,,,"(40.82723, -73.94204)"
3,,40.80841,-73.94761,Studio Museum Harlem ,,wikivoyage,red,429 W 127th St ,http://www.studiomuseum.org ,See_Museums,The first museum in the U.S. devoted to artists of African descent. Temporarily relocated from 144 W 125th St building for construction of new museum building.,"(40.80841, -73.94761)",,,,,,,,,"(40.80841, -73.94761)"
2,,40.81465,-73.94096,Schomburg Center for Research in Black Culture ,,wikivoyage,red,515 Malcolm X Blvd ,http://www.nypl.org/locations/schomburg ,See_Museums,"A main research branch of the New York Public Library, this is a repository of priceless documents and also has various exhibitions on themes related to black history and culture.","(40.81465, -73.94096)",,,,,,,,,"(40.81465, -73.94096)"
1,,40.79248,-73.95188,Museum of the City of New York ,,wikivoyage,red,1220 5th Ave ,http://www.mcny.org/ ,See_Museums,"Rather large, interesting museum with all kinds of documentation of events in the 400-year history of this city and delightful artifacts of life in earlier periods, such as the extensive collection of 19th-century dollhouses complete with miniature furniture.","(40.79248, -73.95188)",,,,,,,,,"(40.79248, -73.95188)"
0,,40.83445,-73.93857,Morris-Jumel Mansion ,,wikivoyage,red,65 Jumel Terrace ,http://www.morrisjumel.org/ ,See_Museums,"Built in 1765, this is the oldest house on Manhattan Island. It served as George Washington's headquarters in 1776. Now a museum set on a 1.5-acre park, it features a decorative-arts collection representing the colonial and Revolutionary War periods. Washington's office is among the 12 restored rooms.","(40.83445, -73.93857)",,,,,,,,,"(40.83445, -73.93857)"
4,,40.83327,-73.94643,Hispanic Society of America ,,wikivoyage,red,613 W 155th St ,http://www.hispanicsociety.org ,See_Museums,"A museum and library devoted to Spanish, Portuguese, and Latin American art and culture.","(40.83327, -73.94643)",,,,,,,,,"(40.83327, -73.94643)"
3,,40.82136,-73.94728,Hamilton Grange National Memorial ,,wikivoyage,red,414 W 141st St ,http://www.nps.gov/hagr/ ,See_Museums,"Built in 1802 (and physically shifted from its original location), this was the home of Alexander Hamilton, one of the founding fathers and the first Secretary of Treasury.","(40.82136, -73.94728)",,,,,,,,,"(40.82136, -73.94728)"
2,,40.7931,-73.95137,El Museo del Barrio ,,wikivoyage,red,1230 5th Ave ,http://elmuseo.org ,See_Museums,The only US museum devoted to Puerto Rican culture.,"(40.7931, -73.95137)",,,,,,,,,"(40.7931, -73.95137)"
1,,40.86737,-73.92288,Dyckman Farmhouse ,,wikivoyage,red,4881 Broadway ,http://www.dyckmanfarmhouse.org/ ,See_Museums,"The former residence of William Dyckman, who owned several hundred acres of farmland covering much of what is now Inwood and Washington heights. Nestled incongruously at the otherwise unremarkable corner of 204th and Broadway, the farmhouse has been converted into a small museum of life in early Manhattan and hosts various programs for the neighborhood. The ""Hessian Huts"" in the back yard are a leftover from the British occupation of Manhattan during the Revolutionary War!","(40.86737, -73.92288)",,,,,,,,,"(40.86737, -73.92288)"
0,,40.86489,-73.93191,The Cloisters ,,wikivoyage,red,"99 Margaret Corbin Drive, Fort Tryon Park ",https://metmuseum.org/visit/met-cloisters ,See_Museums,"Located on four acres overlooking the Hudson River in Fort Tryon Park, the building incorporates elements from five medieval French cloisters – quadrangles enclosed by a roofed or vaulted passageway, or arcade – and from other monastic sites in southern France. There are various artworks on display in the museum, with the Unicorn Tapestries being the most famous.","(40.86489, -73.93191)",,,,,,,,,"(40.86489, -73.93191)"
1,,40.774257,-73.984582,New York Public Library ,,wikivoyage,red, , ,Connect,The NYPL branch libraries at Morningside Heights (114th and Broadway); Bloomingdale (100th Street between Columbus and Amsterdam); St Agnes (Amsterdam Avenue and 81st Street); Riverside (Amsterdam Avenue at 65th Street); and the Library for the Performing Arts at Lincoln Center (Amsterdam Av. between 64th and 65th Sts.) all have computer terminals for public use (library membership is not necessary).,"(40.774257, -73.984582)",,,,,,,,,"(40.774257, -73.984582)"
0,,40.80775585,-73.96161411567529,Columbia University ,,wikivoyage,red, , ,Connect,Free open wireless service in the neighborhood (best on campus).,"(40.80775585, -73.96161411567529)",,,,,,,,,"(40.80775585, -73.96161411567529)"
3,,40.78187,-73.9819,The Wallace ,,wikivoyage,red,242 West 76th St ,https://thewallace.com/ ,Sleep_Splurge,"A spacious apartment-like hotel with kitchenettes and upscale amenities. The hotel has a lobby with fireplace, library/lounge and soft couches, computer room and exercise facility.","(40.78187, -73.9819)",,,,,,,,,"(40.78187, -73.9819)"
2,,40.769167,-73.981667,Trump International Hotel Towers ,,wikivoyage,red,1 Central Park West ,http://www.trumphotelcollection.com/central-park/ ,Sleep_Splurge,An elegant 52-story hotel designed by noted architects Philip Johnson and Costas Kondylis.,"(40.769167, -73.981667)",,,,,,,,,"(40.769167, -73.981667)"
1,,40.76898,-73.98299,Mandarin Oriental Hotel ,,wikivoyage,red,80 Columbus Circle ,http://www.mandarinoriental.com/newyork/ ,Sleep_Splurge,"The hotel has a spa, upscale dining at MO Lounge, amazing views, and a fitness center on the premises.","(40.76898, -73.98299)",,,,,,,,,"(40.76898, -73.98299)"
0,,40.7835,-73.97844,Lucerne Hotel ,,wikivoyage,red,201 West 79th St ,http://www.thelucernehotel.com/ ,Sleep_Splurge,A restored upscale boutique hotel that has been recognized as a landmark building.,"(40.7835, -73.97844)",,,,,,,,,"(40.7835, -73.97844)"
3,,40.81136,-73.96187,Union Theological Seminary ,,wikivoyage,red,3041 Broadway ,http://www.utsnyc.edu/ ,Sleep_Mid-range,Well appointed rooms are set around a beautiful cloister.,"(40.81136, -73.96187)",,,,,,,,,"(40.81136, -73.96187)"
2,,40.77625,-73.97762,La Quinta New York City Central Park West ,,wikivoyage,red,31 West 71st St ,https://www.wyndhamhotels.com/laquinta/new-york-city-new-york/la-quinta-new-york-city-central-park/overview ,Sleep_Mid-range,"Free high-speed internet, complimentary breakfast, and an exercise room.","(40.77625, -73.97762)",,,,,,,,,"(40.77625, -73.97762)"
1,,40.79673,-73.96254,Central Park Inn ,,wikivoyage,red,19 W 103rd St ,http://www.centralparkinn.com/ ,Sleep_Mid-range,Studio apartments; extended stay.,"(40.79673, -73.96254)",,,,,,,,,"(40.79673, -73.96254)"
0,,40.78208,-73.98039,Arthouse Hotel New York City ,,wikivoyage,red,2178 Broadway ,https://www.arthousehotelnyc.com/ ,Sleep_Mid-range,"The rooms are larger than in most Manhattan hotels, with a modern design.","(40.78208, -73.98039)",,,,,,,,,"(40.78208, -73.98039)"
4,,40.7709,-73.98057,West Side YMCA ,,wikivoyage,red,5 W 63rd St ,http://www.ymcanyc.org/westside/ ,Sleep_Budget,Rates are a bit more than your average youth hostel but still inexpensive for Manhattan.,"(40.7709, -73.98057)",,,,,,,,,"(40.7709, -73.98057)"
3,,40.78561,-73.9817,Riverside Tower Hotel ,,wikivoyage,red,80 Riverside Dr ,http://www.riversidetowerhotel.com ,Sleep_Budget,,"(40.78561, -73.9817)",,,,,,,,,"(40.78561, -73.9817)"
2,,40.79819,-73.96107,Jazz On The Park Hostel ,,wikivoyage,red,36 W 106th St ,http://www.jazzhostels.com/jazzlocations/jazz-on-the-park/ ,Sleep_Budget,"On-site cafe, 24 hour internet and reception, ATM, laundry, no curfew.","(40.79819, -73.96107)",,,,,,,,,"(40.79819, -73.96107)"
1,,40.79352,-73.97221,Hotel Newton ,,wikivoyage,red,2528 Broadway ,http://www.thehotelnewton.com/ ,Sleep_Budget,"Budget hotel with amenities like microwave ovens, mini refrigerators and flat screen televisions.","(40.79352, -73.97221)",,,,,,,,,"(40.79352, -73.97221)"
0,,40.79843,-73.96678,Hostelling International New York ,,wikivoyage,red,891 Amsterdam Ave ,http://www.hinewyork.org ,Sleep_Budget,"HI-New York is the largest hostel in North America. Close to the subway, with internet, 24-hour reception, laundry, a lounge area, a small cafe, and no curfew. The building is old, but in decent shape and pretty clean.","(40.79843, -73.96678)",,,,,,,,,"(40.79843, -73.96678)"
5,,40.80551,-73.96533,Oren's ,,wikivoyage,red,2882 Broadway ,https://www.orensdailyroast.com/ ,Drink_Cafes,A local chain with good coffee and excellent teas.,"(40.80551, -73.96533)",,,,,,,,,"(40.80551, -73.96533)"
4,,40.77569,-73.9803,Magnolia ,,wikivoyage,red,200 Columbus Ave ,http://www.magnoliabakery.com/ ,Drink_Cafes,Part of the cupcake bakery chain,"(40.77569, -73.9803)",,,,,,,,,"(40.77569, -73.9803)"
3,,40.77993,-73.98032,Levain's Bakery ,,wikivoyage,red,167 W 74th St ,http://www.levainbakery.com/ ,Drink_Cafes,"Bakery best known for their big, dense cookies.","(40.77993, -73.98032)",,,,,,,,,"(40.77993, -73.98032)"
2,,40.8034,-73.9637,The Hungarian Pastry Shop ,,wikivoyage,red,1030 Amsterdam Ave , ,Drink_Cafes,"Coffee and super-rich pastries in a ""bohemian"" setting. A Columbia University neighborhood fixture, the cafe has been in business since 1963. There is no WiFi, but that doesn't stop it from being perpetually crowded.","(40.8034, -73.9637)",,,,,,,,,"(40.8034, -73.9637)"
1,,40.7938,-73.96648,Crumbs ,,wikivoyage,red,775 Columbus Avenue ,http://www.crumbs.com/ ,Drink_Cafes,"Bakery specializing in cupcakes, including the Oreo cupcake and the Hostess cupcake cupcake","(40.7938, -73.96648)",,,,,,,,,"(40.7938, -73.96648)"
0,,40.77807,-73.97866,Alice's Tea Cup ,,wikivoyage,red,102 W 73rd St ,http://alicesteacup.com/ ,Drink_Cafes,"Good tea selection, excellent scones and an Alice in Wonderland theme. Very popular with families with daughters","(40.77807, -73.97866)",,,,,,,,,"(40.77807, -73.97866)"
4,,40.78583,-73.97597,George Keeleys ,,wikivoyage,red,485 Amsterdam Ave ,http://georgekeeley.com/ ,Drink,Excellent beer selection,"(40.78583, -73.97597)",,,,,,,,,"(40.78583, -73.97597)"
3,,40.78363,-73.97911,Dublin House ,,wikivoyage,red,225 W 79th St ,http://dublinhousenyc.com/ ,Drink,Neighborhood bar.,"(40.78363, -73.97911)",,,,,,,,,"(40.78363, -73.97911)"
2,,40.79395,-73.97079,Dive Bar ,,wikivoyage,red,732 Amsterdam Ave ,http://www.divebarnyc.com/ ,Drink,"One of the few bars with any type of scene during the week. Good whiskey selection, good bartenders.","(40.79395, -73.97079)",,,,,,,,,"(40.79395, -73.97079)"
1,,40.78142,-73.97995,Amsterdam Ale House ,,wikivoyage,red,340 Amsterdam Ave #1 ,http://amsterdamalehousenyc.com/ ,Drink,Local pub specializing in microbrews.,"(40.78142, -73.97995)",,,,,,,,,"(40.78142, -73.97995)"
0,,40.802248,-73.964739,Amity Hall Uptown ,,wikivoyage,red,982 Amsterdam Ave ,https://amityhalluptown.com ,Drink,Food and drink in a large pub-like space.,"(40.802248, -73.964739)",,,,,,,,,"(40.802248, -73.964739)"
5,,40.78483,-73.97966,Zabar's ,,wikivoyage,red,2245 Broadway ,http://www.zabars.com/ ,Eat_Markets,"A very well-known store in New York, with an enormous selection of delicious (and often expensive) foods. Foodstuffs (cheeses, olives, smoked fish, prepared foods, breads, etc.) are sold on the first floor. The second floor is where you will find all sorts of devices related to cooking and food processing at price points ranging from inexpensive bargains to very expensive luxury items. As with Fairway, do not go the day before Thanksgiving, and think carefully before going on a busy weekend. They also have a small cafe at the corner of 80th St. that has quite decent offerings (for example, frozen yogurt and sandwiches with some of the good products sold in their store) and is not expensive.","(40.78483, -73.97966)",,,,,,,,,"(40.78483, -73.97966)"
4,,40.80421,-73.96625,Westside Supermarket ,,wikivoyage,red,2840 Broadway ,http://www.wmarketnyc.com/ ,Eat_Markets,"An old neighborhood establishment gone upscale. Amazing choice of prepared foods and good fruits and vegetables. The cheese section is outstanding, as also are the meats and fish.","(40.80421, -73.96625)",,,,,,,,,"(40.80421, -73.96625)"
3,,40.79818,-73.96959,Schatzie's ,,wikivoyage,red,2665 Broadway ,http://www.schatziethebutcher.com/ ,Eat_Markets,"Totally friendly, great meats, great butchers, order by phone, and cheaper than Citarella. And they will cook dinner for you if you like.","(40.79818, -73.96959)",,,,,,,,,"(40.79818, -73.96959)"
2,,40.8057,-73.96516,Milano Market ,,wikivoyage,red,2892 Broadway , ,Eat_Markets,"Italian products with a good deli, reasonable cheeses, and a good selection of international beers.","(40.8057, -73.96516)",,,,,,,,,"(40.8057, -73.96516)"
1,,40.78069,-73.98178,Fairway ,,wikivoyage,red,2127 Broadway ,https://www.fairwaymarket.com/ ,Eat_Markets,"Probably the best-known supermarket in New York, Fairway sells a wide variety of specialty and prepared items, in addition to usual supermarket fare, and has large produce sections. Lots of good values to be had, but watch out for elbows and aggressive shopping cart drivers at peak times. Great values in produce, but they don't take good care of their cheese. Yogurt and other products not kept in shrink-wrapped plastic are fine.","(40.78069, -73.98178)",,,,,,,,,"(40.78069, -73.98178)"
0,,40.78102,-73.98172,Citarella ,,wikivoyage,red,2135 Broadway ,http://citarella.com/ ,Eat_Markets,"Started out as a fish market, then added an increasingly large meat section. They also sell some prepared items. Can be pricey.","(40.78102, -73.98172)",,,,,,,,,"(40.78102, -73.98172)"
2,,40.76829,-73.98312,Per Se ,,wikivoyage,red,10 Columbus Circle ,http://www.thomaskeller.com/per-se ,Eat_Splurge,"The New York outpost of Chef Thomas Keller of the French Laundry in Yountville, which is in the Napa Valley of California. Chef Keller is one of the most famous and highly praised chefs in the United States. It used to be necessary to call months in advance for reservations, but same-day reservations may be worth attempting.","(40.76829, -73.98312)",,,,,,,,,"(40.76829, -73.98312)"
1,,40.76859,-73.98301,Masa ,,wikivoyage,red,10 Columbus Circle ,http://www.masanyc.com/ ,Eat_Splurge,"Probably the most expensive restaurant in New York, so go only if money is no object. Those who have been there strongly recommend that you sit at the sushi bar in order to have the best experience. Reservations necessary.","(40.76859, -73.98301)",,,,,,,,,"(40.76859, -73.98301)"
0,,40.772074,-73.981491,Atlantic Grill ,,wikivoyage,red,49 West 64th Street ,http://www.atlanticgrill.com/venues/near-lincoln-center/ ,Eat_Splurge,"Seafood; sushi, oysters and simply grilled fish a la carte.","(40.772074, -73.981491)",,,,,,,,,"(40.772074, -73.981491)"
3,,40.77934,-73.98084,Salumeria Rosi ,,wikivoyage,red,283 Amsterdam Ave ,http://www.salumeriarosinyc.com/ ,Eat_Mid-range,"The cuisine of this restaurant is based on excellent salumi (cured meats), and the other ingredients are fresh and high-quality. The ""small"" selection of salumi is quite substantial, and the salads are large and quite good. The antipasti, while tasty, are rather small, so they're worth getting but can add up more quickly. Good cheeses, too. The front of the shop is a counter that sells salumi and cheeses to take out. Informal atmosphere, serious cuisine, and good service. It isn't cheap, but it is a very good value, especially for the neighborhood.","(40.77934, -73.98084)",,,,,,,,,"(40.77934, -73.98084)"
2,,40.79297,-73.97145,Pio Pio ,,wikivoyage,red,702 Amsterdam Ave ,http://www.piopio.com/locations/upper-west-side.html ,Eat_Mid-range,"A Manhattan outpost of a very popular upscale Peruvian chain. Serves great rotisserie chicken, and tends to be very loud due to the large crowds of locals that come here.","(40.79297, -73.97145)",,,,,,,,,"(40.79297, -73.97145)"
1,,40.79699,-73.96971,Manhattan Valley ,,wikivoyage,red,2636 Broadway ,https://www.manhattanvalleyny.com/ ,Eat_Mid-range,"A classy Northern Indian restaurant that serves excellent food. Their lunch special is a bargain; dinner is a little more, but still a fine value.","(40.79699, -73.96971)",,,,,,,,,"(40.79699, -73.96971)"
0,,40.78795,-73.97456,Barney Greengrass ,,wikivoyage,red,541 Amsterdam Ave ,http://www.barneygreengrass.com/ ,Eat_Mid-range,"Barney Greengrass has been known as the ""Sturgeon King"" for a very long time, having opened his original store in 1908. The smoked fish that this establishment is known for is not cheap: Smoked fish platters in the restaurant range from $28-58, not counting the ""deluxe platter for two,"" which will set you back $95. You can save some money by having eggs with a side of smoked fish; that'll still cost you between $14.50 and $20.75, but you won't regret it. This place is a real New York institution, and the only place in Manhattan that is generally considered to rival it for what's traditionally called Jewish ""appetizing"" (that is, pareve products that are neither meat nor milk but include fish) is Russ & Daughters on the [[Manhattan/Lower East Side","(40.78795, -73.97456)",,,,,,,,,"(40.78795, -73.97456)"
3,,40.7947,-73.9718,The Taco Stand ,,wikivoyage,red,96th and Broadway , ,Eat_Budget_Street food,A popular stand with good tacos. Nights only.,"(40.7947, -73.9718)",,,,,,,,,"(40.7947, -73.9718)"
2,,40.8055,-73.9658,Fruit Stands ,,wikivoyage,red,"110th and Broadway, and 112th and Broadway ", ,Eat_Budget_Street food,Spring to Fall only.,"(40.8055, -73.9658)",,,,,,,,,"(40.8055, -73.9658)"
1,,40.8042,-73.9667,Italian Ice Lady ,,wikivoyage,red,110th and Broadway , ,Eat_Budget_Street food,Late Spring to early Fall only.,"(40.8042, -73.9667)",,,,,,,,,"(40.8042, -73.9667)"
0,,40.808,-73.9639,Halal Cart ,,wikivoyage,red,116th and Broadway , ,Eat_Budget_Street food,"Good chicken, veggies, lamb with rice combos for lunch. Coffee and bagels in the mornings.","(40.808, -73.9639)",,,,,,,,,"(40.808, -73.9639)"
0,,40.80546,-73.965397,Tom's Restaurant ,,wikivoyage,red,2880 Broadway ,https://tomsrestaurant.net ,Eat_Budget,The restaurant from the comedy series ''[[Seinfeld Tour,"(40.80546, -73.965397)",,,,,,,,,"(40.80546, -73.965397)"
11,,40.78528,-73.97703,Peacefood Cafe ,,wikivoyage,red,460 Amsterdam Avenue ,http://www.peacefoodcafe.com/ ,Eat_Budget,Vegan food only,"(40.78528, -73.97703)",,,,,,,,,"(40.78528, -73.97703)"
10,,40.79046,-73.97521,Ollie's To Go ,,wikivoyage,red,2425 Broadway ,http://www.olliestogo.com/ ,Eat_Budget,"Workday Chinese. Fast and cheap lunch or dinner, but don't expect anything close to average Chinatown quality.","(40.79046, -73.97521)",,,,,,,,,"(40.79046, -73.97521)"
9,,40.80976,-73.95859,Massawa ,,wikivoyage,red,1239 Amsterdam Ave ,http://www.massawanyc.com/ ,Eat_Budget,"One of the oldest Ethopian (Eritrean) restaurants in the city, but renovated. Good food, service, and a well stocked bar.","(40.80976, -73.95859)",,,,,,,,,"(40.80976, -73.95859)"
8,,40.79744,-73.97013,Metro Diner ,,wikivoyage,red,2641 Broadway , ,Eat_Budget,"Diner with long, varied menus for all meals.","(40.79744, -73.97013)",,,,,,,,,"(40.79744, -73.97013)"
7,,40.80575,-73.96593,Le Monde ,,wikivoyage,red,2885 Broadway ,http://www.lemondenyc.com/ ,Eat_Budget,Faux French food but a great international beer selection and good burgers.,"(40.80575, -73.96593)",,,,,,,,,"(40.80575, -73.96593)"
6,,40.80446,-73.9663,Koronet Pizza ,,wikivoyage,red,2848 Broadway ,http://koronetpizzany.com/ ,Eat_Budget,"A very good pizza parlor serving the Columbia University area. They specialize in large pies and large slices, amongst the largest in the city.","(40.80446, -73.9663)",,,,,,,,,"(40.80446, -73.9663)"
5,,40.80517,-73.96637,The Heights ,,wikivoyage,red,2867 Broadway ,http://www.theheightsnyc.com/ ,Eat_Budget,Tex-Mex. The bar is the best part. A rooftop terrace is open on warm days for al fresco dining.,"(40.80517, -73.96637)",,,,,,,,,"(40.80517, -73.96637)"
4,,40.77837,-73.98156,Gray's Papaya ,,wikivoyage,red,2090 Broadway ,http://grayspapayanyc.com/ ,Eat_Budget,"One of the best hot dog joints in Manhattan (the ""Recession Special"" is a popular favorite), Gray's also serves up some excellent tropical drinks.","(40.77837, -73.98156)",,,,,,,,,"(40.77837, -73.98156)"
3,,40.7978,-73.9699,Flor de Mayo ,,wikivoyage,red,2651 Broadway ,http://www.flordemayo.com/ ,Eat_Budget,"This is a Peruvian-Chinese restaurant, owned and staffed by Peruvian immigrants of Chinese descent. However, because there are way more Dominicans than Peruvians in the area, they have catered to the Criollo taste. They have long been known in the neighborhood for reliably tasty pollo a la brasa (rotisserie chicken), served with a delicious garlic sauce (if they don't automatically bring it for you, ask for it). They also offer specifically Peruvian dishes, which are well worth your trying if you are not in the mood for the chicken. Their Chinese dishes are in a style similar to the American-Chinese restaurants of the 1970s - perfectly acceptable, though perhaps a bit oily. They have another location at 484 Amsterdam Ave, between 83rd and 84th Sts, which some people prefer.","(40.7978, -73.9699)",,,,,,,,,"(40.7978, -73.9699)"
2,,40.79505,-73.96993,El Malecon ,,wikivoyage,red,764 Amsterdam Ave ,http://maleconrestaurants.com/ ,Eat_Budget,A Dominican restaurant known as one of the best places for ''pollo a la brasa'' (rotisserie chicken) in Manhattan. They also serve a number of daily specials for lunch and dinner.,"(40.79505, -73.96993)",,,,,,,,,"(40.79505, -73.96993)"
1,,40.78165,-73.97917,Chirping Chicken ,,wikivoyage,red,355 Amsterdam Ave ,http://chirpingchickennyc.com/ ,Eat_Budget,,"(40.78165, -73.97917)",,,,,,,,,"(40.78165, -73.97917)"
0,,40.80245,-73.9674,Absolute Bagels ,,wikivoyage,red,2788 Broadway ,http://www.absolutebagels.com/ ,Eat_Budget,"A true New York bagel shop with a fanatical following, often ranking among the very best bagels in the city. There's usually a long line out the door, but it tends to move quickly. Lots of spread and sandwich options are available.","(40.80245, -73.9674)",,,,,,,,,"(40.80245, -73.9674)"
